experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,002000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,001500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,001000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,000500000,first_0,-17.066666666666666,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,003500000,first_0,-1.2,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,004000000,first_0,-0.4,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,003000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S0/0_2021-11-19_03:41:07,002500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,002000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,001500000,first_0,-6.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,001000000,first_0,-18.032258064516128,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,000500000,first_0,-17.475409836065573,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,003000000,first_0,-0.8,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,003500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,002500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,004000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,005500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,004500000,first_0,-0.4,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,006000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,005000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,006500000,first_0,-1.6,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,007500000,first_0,-0.8,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,007000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,008000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S1/1_2021-11-19_20:42:30,008500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,000500000,first_0,-17.5,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,001000000,first_0,-3.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,001500000,first_0,-4.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,002500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,003000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,003500000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,002000000,first_0,0.0,nan,nan,nan,False,False
checkpoint/nfsp_rainbow/double_dunk_v2/RB1000000_F50000000_S2/2_2021-11-19_20:42:30,004000000,first_0,-6.0,nan,nan,nan,False,False
